"","pmid","annotator_id","characteristic","class","explanation","categories","counts","percentages"
"2416","37711969","CQM4398","Age","Demographic","Age distribution of the study participants.","60-80 years","70","100%"
"2417","37711969","CQM4398","Diagnosis of Dementia","Health-Related","Presence or absence of dementia diagnosis in study participants.","Without Dementia","70","100%"
"2418","35897033","DXJ4490","Gender","Demographic","The distribution of male and female participants.","Female","143","56.6%"
"2419","35897033","DXJ4490","Gender","Demographic","The distribution of male and female participants.","Male","108","43.4%"
"2420","35897033","DXJ4490","Age","Demographic","The distribution of participants by age.","<65 years","110","43.8%"
"2421","35897033","DXJ4490","Age","Demographic","The distribution of participants by age.","≥65 years","141","56.2%"
"2422","35897033","DXJ4490","Duration of Diabetes Mellitus (DM)","Other","The duration of DM among participants.","≤ 6 years",NA,NA
"2423","35897033","DXJ4490","Duration of Diabetes Mellitus (DM)","Other","The duration of DM among participants.","> 6 years",NA,NA
"2424","35897033","DXJ4490","Years of School Education","Other","The distribution of participants by years of school education.","≤ 6 years",NA,NA
"2425","35897033","DXJ4490","Years of School Education","Other","The distribution of participants by years of school education.","> 6 years",NA,NA
"2426","35897033","DXJ4490","Follow-up Duration","Other","The duration of follow-up in months after the baseline assessment.",NA,NA,NA
"2427","35897033","DXJ4490","Conversion of GCS(z) at Follow-up","Other","The percentage of patients with a GCS(z) ≥ 0 at baseline turning into GCS(z) < 0 at follow-up.",NA,NA,NA
"2428","35533660","TGB5045","Age","Demographic","The age distribution of participants.","45-54",NA,NA
"2429","35533660","TGB5045","Age","Demographic","The age distribution of participants.","55-64",NA,NA
"2430","35533660","TGB5045","Age","Demographic","The age distribution of participants.","65-74",NA,NA
"2431","35533660","TGB5045","Age","Demographic","The age distribution of participants.","75-85",NA,NA
"2432","35533660","TGB5045","Gender","Demographic","The distribution of male and female participants.","Male",NA,NA
"2433","35533660","TGB5045","Gender","Demographic","The distribution of male and female participants.","Female",NA,NA
"2434","35533660","TGB5045","Region","Geographic","The geographic distribution of participants.","Canadian Longitudinal Study on Aging",NA,NA
"2435","35533660","TGB5045","Prevalence of Diabetes","Health-Related","The prevalence of participants with and without diabetes.","With Diabetes","15","15%"
"2436","35533660","TGB5045","Prevalence of Diabetes","Health-Related","The prevalence of participants with and without diabetes.","Without Diabetes","85","85%"
"2437","35533660","TGB5045","Employment Status","Other","The employment status of participants.","Employed",NA,NA
"2438","35533660","TGB5045","Employment Status","Other","The employment status of participants.","Unemployed",NA,NA
"2439","35533660","TGB5045","Employment Status","Other","The employment status of participants.","Retired",NA,NA
"2440","35533660","TGB5045","Prevalence of Hypertension","Health-Related","The prevalence of participants with and without hypertension.","With Hypertension","50","25%"
"2441","35533660","TGB5045","Prevalence of Hypertension","Health-Related","The prevalence of participants with and without hypertension.","Without Hypertension","150","75%"
"2442","34872609","LOO1536","Age","Demographic","The age distribution of the study sample.","≥ 60 years","1081","100%"
"2443","34872609","LOO1536","Gender","Demographic","The distribution of male and female participants.","Male",NA,NA
"2444","34872609","LOO1536","Gender","Demographic","The distribution of male and female participants.","Female",NA,NA
"2445","34872609","LOO1536","Region","Geographic","The geographic distribution of participants in Tianjin, China.","Rural areas of Tianjin, China","1081","100%"
"2446","34872609","LOO1536","Prevalence of Diabetes","Health-Related","The distribution of participants with and without a diagnosis of diabetes.","With Diabetes",NA,NA
"2447","34872609","LOO1536","Prevalence of Diabetes","Health-Related","The distribution of participants with and without a diagnosis of diabetes.","Without Diabetes",NA,NA
"2448","34872609","LOO1536","Prevalence of Hypertension","Health-Related","The distribution of participants with and without a diagnosis of hypertension.","With Hypertension",NA,NA
"2449","34872609","LOO1536","Prevalence of Hypertension","Health-Related","The distribution of participants with and without a diagnosis of hypertension.","Without Hypertension",NA,NA
"2450","34872609","LOO1536","Body Height","Other","The measurement of body height among elderly participants.",NA,NA,NA
"2451","38443972","VEW4100","Age","Demographic","The distribution of age groups among the study participants.",NA,NA,NA
"2452","38443972","VEW4100","Gender","Demographic","The distribution of male and female participants.","Males",NA,NA
"2453","38443972","VEW4100","Gender","Demographic","The distribution of male and female participants.","Females",NA,NA
"2454","38443972","VEW4100","Education Level","Demographic","The education levels of the participants.","Higher Education",NA,NA
"2455","38443972","VEW4100","Education Level","Demographic","The education levels of the participants.","Other Education Levels",NA,NA
"2456","38443972","VEW4100","Marital Status","Demographic","The marital status of the participants.","Married",NA,NA
"2457","38443972","VEW4100","Marital Status","Demographic","The marital status of the participants.","Unmarried",NA,NA
"2458","38443972","VEW4100","Smoking Status","Health-Related","The smoking status of the participants.","Current Smokers",NA,NA
"2459","38443972","VEW4100","Smoking Status","Health-Related","The smoking status of the participants.","Non-Smokers",NA,NA
"2460","38443972","VEW4100","Income","Other","The income levels of the participants.","High Income",NA,NA
"2461","38443972","VEW4100","Income","Other","The income levels of the participants.","Low Income",NA,NA
"2462","38443972","VEW4100","Physical Activity","Other","The physical activity levels of the participants.","Active",NA,NA
"2463","38443972","VEW4100","Physical Activity","Other","The physical activity levels of the participants.","Inactive",NA,NA
"2464","37079031","QNO6647","Age","Demographic","Distribution of age groups among study participants.","Premanifest HD","16","22.2%"
"2465","37079031","QNO6647","Age","Demographic","Distribution of age groups among study participants.","Manifest HD","20","27.8%"
"2466","37079031","QNO6647","Age","Demographic","Distribution of age groups among study participants.","Controls","36","50%"
"2467","37079031","QNO6647","Sex","Demographic","Distribution of participants by gender.","Male","18","50%"
"2468","37079031","QNO6647","Sex","Demographic","Distribution of participants by gender.","Female","18","50%"
"2469","37079031","QNO6647","Smoking Status","Other","Distribution of participants based on smoking status.","Smokers","20","38.5%"
"2470","37079031","QNO6647","Smoking Status","Other","Distribution of participants based on smoking status.","Non-Smokers","32","61.5%"
"2471","37079031","QNO6647","Hypertension Status","Health-Related","Distribution of participants with and without hypertension.","With Hypertension","10","27.8%"
"2472","37079031","QNO6647","Hypertension Status","Health-Related","Distribution of participants with and without hypertension.","Without Hypertension","26","72.2%"
"2473","36265125","JVH8460","Age","Demographic","The distribution of age groups among the COVID-19 patients.","60 years or older","16.52%","16.52"
"2474","36265125","JVH8460","Age","Demographic","The distribution of age groups among the COVID-19 patients.","Other ages","2.12%","2.12"
"2475","36265125","JVH8460","Insurance Status","Other","The distribution of patients based on insurance status.","Medicaid","10.81%","10.81"
"2476","36265125","JVH8460","Insurance Status","Other","The distribution of patients based on insurance status.","Other insurance","5.61%","5.61"
"2477","36265125","JVH8460","Disabilities","Other","The distribution of patients with and without disabilities.","With disabilities","18.26%","18.26"
"2478","36265125","JVH8460","Disabilities","Other","The distribution of patients with and without disabilities.","Without disabilities","5.07%","5.07"
"2479","36265125","JVH8460","Prevalence of Pulmonary Disease","Health-Related","The distribution of patients with pulmonary disease.","Pulmonary disease",NA,NA
"2480","36265125","JVH8460","Prevalence of Dementia","Health-Related","The distribution of patients with dementia.","Dementia",NA,NA
"2481","36265125","JVH8460","Prevalence of Gastrointestinal Disease","Health-Related","The distribution of patients with gastrointestinal disease.","Gastrointestinal disease",NA,NA
"2482","36265125","JVH8460","Prevalence of Stroke","Health-Related","The distribution of patients with stroke.","Stroke",NA,NA
"2483","36265125","JVH8460","Prevalence of Hepatobiliary Disease","Health-Related","The distribution of patients with hepatobiliary disease.","Hepatobiliary disease",NA,NA
"2484","36265125","JVH8460","Prevalence of Diabetes Mellitus","Health-Related","The distribution of patients with diabetes mellitus.","Diabetes mellitus",NA,NA
"2485","36265125","JVH8460","Prevalence of Cardiovascular Disease","Health-Related","The distribution of patients with cardiovascular disease.","Cardiovascular disease",NA,NA
"2486","36265125","JVH8460","Prevalence of Hyperlipidemia","Health-Related","The distribution of patients with hyperlipidemia.","Hyperlipidemia",NA,NA
"2487","36265125","JVH8460","Prevalence of Autoimmune Disease","Health-Related","The distribution of patients with autoimmune disease.","Autoimmune disease",NA,NA
"2488","36265125","JVH8460","Prevalence of Cancer","Health-Related","The distribution of patients with cancer.","Cancer",NA,NA
"2489","36265125","JVH8460","Prevalence of Kidney Disease","Health-Related","The distribution of patients with kidney disease.","Kidney Disease",NA,NA
"2490","36265125","JVH8460","Prevalence of Hypertension","Health-Related","The distribution of patients with hypertension.","Hypertension",NA,NA
"2491","36265125","JVH8460","Prevalence of Psychotic Disorders","Health-Related","The distribution of patients with psychotic disorders.","Psychotic Disorders",NA,NA
"2492","37448423","TOC6867","Gender","Demographic","The distribution of male and female participants.","Male","52","52%"
"2493","37448423","TOC6867","Gender","Demographic","The distribution of male and female participants.","Female","48","48%"
"2494","37448423","TOC6867","Race/Ethnicity","Demographic","The distribution of participants by race/ethnicity.","White","40","40%"
"2495","37448423","TOC6867","Race/Ethnicity","Demographic","The distribution of participants by race/ethnicity.","Black","42","42%"
"2496","37448423","TOC6867","Race/Ethnicity","Demographic","The distribution of participants by race/ethnicity.","Hispanic","11","11%"
"2497","37448423","TOC6867","Primary Payer","Other","The primary payer for hospitalizations.","Medicare","47","47%"
"2498","37448423","TOC6867","Primary Payer","Other","The primary payer for hospitalizations.","Medicaid","21","21%"
"2499","37448423","TOC6867","Primary Payer","Other","The primary payer for hospitalizations.","Private Insurance","20","20%"
"2500","37448423","TOC6867","Primary Payer","Other","The primary payer for hospitalizations.","No Insurance","10","10%"
"2501","37448423","TOC6867","Prevalence of COPD","Health-Related","The distribution of participants with chronic obstructive pulmonary disease.","With COPD","21","21%"
"2502","37448423","TOC6867","Prevalence of COPD","Health-Related","The distribution of participants with chronic obstructive pulmonary disease.","Without COPD","79","79%"
"2503","37448423","TOC6867","Prevalence of Connective Tissue Disease","Health-Related","The distribution of participants with connective tissue disease.","With CTD","4.6","4.6%"
"2504","37448423","TOC6867","Prevalence of Connective Tissue Disease","Health-Related","The distribution of participants with connective tissue disease.","Without CTD","95.4","95.4%"
"2505","37448423","TOC6867","Prevalence of Dementia","Health-Related","The distribution of participants with dementia.","With Dementia","6","6%"
"2506","37448423","TOC6867","Prevalence of Dementia","Health-Related","The distribution of participants with dementia.","Without Dementia","94","94%"
"2507","37448423","TOC6867","Prevalence of Chronic Kidney Disease","Health-Related","The distribution of participants with chronic kidney disease.","With CKD","51","51%"
"2508","37448423","TOC6867","Prevalence of Chronic Kidney Disease","Health-Related","The distribution of participants with chronic kidney disease.","Without CKD","49","49%"
"2509","35102219","KOB5094","Age","Demographic","Age distribution of the sample population.","Older Adults","16591","100%"
"2510","35102219","KOB5094","Geographic Distribution","Geographic","Geographical distribution of the study participants.","Territory-wide","16591","100%"
"2511","35102219","KOB5094","Employment Status","Other","Employment status of the participants.","Not specified",NA,NA
"2512","35102219","KOB5094","Prevalence of Diabetes","Health-Related","Distribution of participants with and without a diagnosis of diabetes.","Not specified",NA,NA
"2513","35102219","KOB5094","Prevalence of Hypertension","Health-Related","Distribution of participants with and without a diagnosis of hypertension.","Not specified",NA,NA
"2514","33839636","YPF2493","Age","Demographic","The age distribution of the study participants.","<55",NA,NA
"2515","33839636","YPF2493","Age","Demographic","The age distribution of the study participants.","55-64",NA,NA
"2516","33839636","YPF2493","Age","Demographic","The age distribution of the study participants.","65-74",NA,NA
"2517","33839636","YPF2493","Age","Demographic","The age distribution of the study participants.","75-84",NA,NA
"2518","33839636","YPF2493","Age","Demographic","The age distribution of the study participants.","85+",NA,NA
"2519","33839636","YPF2493","Gender","Demographic","The gender distribution of the study participants.","Male","33.6","33.6%"
"2520","33839636","YPF2493","Gender","Demographic","The gender distribution of the study participants.","Female","66.4","66.4%"
"2521","33839636","YPF2493","Institutionalization Status","Other","The percentage of participants who are institutionalized.","Institutionalized","43.4","43.4%"
"2522","33839636","YPF2493","Institutionalization Status","Other","The percentage of participants who are institutionalized.","Not Institutionalized","56.6","56.6%"
"2523","33839636","YPF2493","Main Medical History","Health-Related","Prevalence of main medical histories among participants.","Neurological Diseases",NA,NA
"2524","33839636","YPF2493","Main Medical History","Health-Related","Prevalence of main medical histories among participants.","Hypertension",NA,NA
"2525","33839636","YPF2493","Main Medical History","Health-Related","Prevalence of main medical histories among participants.","Rheumatologic Diseases",NA,NA
"2526","33839636","YPF2493","Main Medical History","Health-Related","Prevalence of main medical histories among participants.","Others",NA,NA
"2527","33839636","YPF2493","Reason for Consultation","Other","Frequency of main reasons for consultation.","Deterioration of general condition",NA,NA
"2528","33839636","YPF2493","Reason for Consultation","Other","Frequency of main reasons for consultation.","Dyspnea",NA,NA
"2529","33839636","YPF2493","Reason for Consultation","Other","Frequency of main reasons for consultation.","Decreased level of consciousness",NA,NA
"2530","33839636","YPF2493","Reason for Consultation","Other","Frequency of main reasons for consultation.","Fever",NA,NA
"2531","33839636","YPF2493","Prevalence of Polypharmacy","Health-Related","Frequency of participants experiencing polypharmacy.","Polypharmacy (3 or more drugs)","89.4","89.4%"
"2532","33839636","YPF2493","Prevalence of Polypharmacy","Health-Related","Frequency of participants experiencing polypharmacy.","Polymedication (5 or more drugs)","55.8","55.8%"
"2533","34611033","WSN6655","Gender","Demographic","The distribution of male and female participants.","Men","324","73.1%"
"2534","34611033","WSN6655","Gender","Demographic","The distribution of male and female participants.","Women","119","26.9%"
"2535","33126696","HHO7925","Gender","Demographic","The distribution of male and female participants.","Female","168","76%"
"2536","33126696","HHO7925","Gender","Demographic","The distribution of male and female participants.","Male","53","24%"
"2537","33126696","HHO7925","Marital Status","Demographic","The marital status of the sample participants.","Married","106","48%"
"2538","33126696","HHO7925","Marital Status","Demographic","The marital status of the sample participants.","Widows","62","50%"
"2539","33126696","HHO7925","Living Area","Geographic","The distribution of participants by urban and rural areas.","Urban","167","75.6%"
"2540","33126696","HHO7925","Living Area","Geographic","The distribution of participants by urban and rural areas.","Rural","54","24.4%"
"2541","33126696","HHO7925","Diagnosis of Dementia","Health-Related","The prevalence of participants diagnosed with dementia.","With Dementia","96","43.4%"
"2542","33126696","HHO7925","Diagnosis of Dementia","Health-Related","The prevalence of participants diagnosed with dementia.","Without Dementia","125","56.6%"
"2543","33126696","HHO7925","Diagnosis of Alzheimer's Disease","Health-Related","The prevalence of participants diagnosed with Alzheimer's disease.","With AD","74","33.5%"
"2544","33126696","HHO7925","Diagnosis of Alzheimer's Disease","Health-Related","The prevalence of participants diagnosed with Alzheimer's disease.","Without AD","147","66.5%"
"2545","33126696","HHO7925","Independence Level","Other","The level of independence in performing basic daily life activities.","Total Dependency","103","61.49%"
"2546","33126696","HHO7925","Independence Level","Other","The level of independence in performing basic daily life activities.","Severe Dependence","66","31.25%"
"2547","33126696","HHO7925","Independence Level","Other","The level of independence in performing basic daily life activities.","Moderate Dependence","15","7.29%"
"2548","33126696","HHO7925","Prevalence of Depression","Health-Related","The prevalence of participants with a diagnosis of depression.","With Depression","39","17.6%"
"2549","33126696","HHO7925","Prevalence of Depression","Health-Related","The prevalence of participants with a diagnosis of depression.","Without Depression","182","82.4%"
"2550","33126696","HHO7925","Prevalence of Type 2 Diabetes Mellitus (T2DM)","Health-Related","The prevalence of participants with a diagnosis of T2DM.","With T2DM","40","18.1%"
"2551","33126696","HHO7925","Prevalence of Type 2 Diabetes Mellitus (T2DM)","Health-Related","The prevalence of participants with a diagnosis of T2DM.","Without T2DM","181","81.9%"
"2552","33126696","HHO7925","Prevalence of Hypertension","Health-Related","The prevalence of participants with a diagnosis of hypertension.","With Hypertension","136","61.5%"
"2553","33126696","HHO7925","Prevalence of Hypertension","Health-Related","The prevalence of participants with a diagnosis of hypertension.","Without Hypertension","85","38.5%"
"2554","33126696","HHO7925","Prevalence of Dyslipidemia","Health-Related","The prevalence of participants with a diagnosis of dyslipidemia.","With Dyslipidemia","85","38.7%"
"2555","33126696","HHO7925","Prevalence of Dyslipidemia","Health-Related","The prevalence of participants with a diagnosis of dyslipidemia.","Without Dyslipidemia","136","61.3%"
"2556","36092174","NZS6277","Age","Demographic","The distribution of age groups among the older patients with proximal femoral fractures.","Mean age of 80 years",NA,NA
"2557","36092174","NZS6277","Gender","Demographic","The distribution of gender among the older patients with proximal femoral fractures.","White women",NA,NA
"2558","36092174","NZS6277","Ethnicity","Demographic","The distribution of ethnicity among the older patients with proximal femoral fractures.","White",NA,NA
"2559","36092174","NZS6277","BMI","Health-Related","The distribution of BMI values among the older patients with proximal femoral fractures.","Average BMI of 23.55 kg/m2",NA,NA
"2560","36092174","NZS6277","Comorbidities","Health-Related","The presence of comorbidities among the older patients with proximal femoral fractures.","Systemic arterial hypertension",NA,NA
"2561","36092174","NZS6277","Comorbidities","Health-Related","The presence of comorbidities among the older patients with proximal femoral fractures.","Diabetes mellitus",NA,NA
"2562","36092174","NZS6277","Comorbidities","Health-Related","The presence of comorbidities among the older patients with proximal femoral fractures.","Alzheimer's disease",NA,NA
"2563","33798213","UEI7510","Age","Demographic","Distribution of age groups among participants.","Under 65",NA,NA
"2564","33798213","UEI7510","Age","Demographic","Distribution of age groups among participants.","65-74",NA,NA
"2565","33798213","UEI7510","Age","Demographic","Distribution of age groups among participants.","75+",NA,NA
"2566","33798213","UEI7510","Gender","Demographic","Distribution of male and female participants.","Male","85","38.4%"
"2567","33798213","UEI7510","Gender","Demographic","Distribution of male and female participants.","Female","136","61.6%"
"2568","33798213","UEI7510","Region","Geographic","Distribution of participants by region.","North",NA,NA
"2569","33798213","UEI7510","Region","Geographic","Distribution of participants by region.","South",NA,NA
"2570","33798213","UEI7510","Region","Geographic","Distribution of participants by region.","East",NA,NA
"2571","33798213","UEI7510","Region","Geographic","Distribution of participants by region.","West",NA,NA
"2572","33798213","UEI7510","Prevalence of Diabetes","Health-Related","Distribution of participants with and without diabetes.","With Diabetes","15","15%"
"2573","33798213","UEI7510","Prevalence of Diabetes","Health-Related","Distribution of participants with and without diabetes.","Without Diabetes","85","85%"
"2574","33798213","UEI7510","Prevalence of Hypertension","Health-Related","Distribution of participants with and without hypertension.","With Hypertension",NA,NA
"2575","33798213","UEI7510","Prevalence of Hypertension","Health-Related","Distribution of participants with and without hypertension.","Without Hypertension",NA,NA
"2576","33798213","UEI7510","Employment Status","Other","Employment status of participants.","Employed",NA,NA
"2577","33798213","UEI7510","Employment Status","Other","Employment status of participants.","Unemployed",NA,NA
"2578","33798213","UEI7510","Employment Status","Other","Employment status of participants.","Retired",NA,NA
"2579","31444142","MGW8846","Age","Demographic","Age distribution of participants in the study.","69-71",NA,NA
"2580","31444142","MGW8846","Gender","Demographic","Gender distribution of participants.","Male","238","51%"
"2581","31444142","MGW8846","Gender","Demographic","Gender distribution of participants.","Female","227","49%"
"2582","31444142","MGW8846","Prevalence of Diabetes","Health-Related","Distribution of participants with and without diabetes diagnosis.","With Diabetes","55","11%"
"2583","31444142","MGW8846","Prevalence of Diabetes","Health-Related","Distribution of participants with and without diabetes diagnosis.","Without Diabetes","437","89%"
"2584","31444142","MGW8846","Hypertensive Status","Health-Related","Distribution of participants with hypertension at different time points.","At 36 years","71","16%"
"2585","31444142","MGW8846","Hypertensive Status","Health-Related","Distribution of participants with hypertension at different time points.","At 43 years","104","22%"
"2586","31444142","MGW8846","Hypertensive Status","Health-Related","Distribution of participants with hypertension at different time points.","At 53 years","226","46%"
"2587","31444142","MGW8846","Hypertensive Status","Health-Related","Distribution of participants with hypertension at different time points.","At 60–64 years","259","52%"
"2588","31444142","MGW8846","Hypertensive Status","Health-Related","Distribution of participants with hypertension at different time points.","At 69 years","274","55%"
"2589","31444142","MGW8846","Antihypertensive Medication Use","Other","Usage of antihypertensive medication by participants at different time points.","At 36 years","7","2%"
"2590","31444142","MGW8846","Antihypertensive Medication Use","Other","Usage of antihypertensive medication by participants at different time points.","At 43 years","9","2%"
"2591","31444142","MGW8846","Antihypertensive Medication Use","Other","Usage of antihypertensive medication by participants at different time points.","At 53 years","57","12%"
"2592","31444142","MGW8846","Antihypertensive Medication Use","Other","Usage of antihypertensive medication by participants at different time points.","At 60-64 years","141","28%"
"2593","31444142","MGW8846","Antihypertensive Medication Use","Other","Usage of antihypertensive medication by participants at different time points.","At 69 years","194","40%"
"2594","31444142","MGW8846","Smoking Status","Other","Smoking status of participants at 68 years of age.","Current Smoker","18","4%"
"2595","31444142","MGW8846","Smoking Status","Other","Smoking status of participants at 68 years of age.","Ex-smoker","311","62%"
"2596","31444142","MGW8846","Smoking Status","Other","Smoking status of participants at 68 years of age.","Never Smoked","170","34%"
"2597","31444142","MGW8846","Hypercholesterolemia","Health-Related","Prevalence of hypercholesterolemia among participants at 70 years of age.","Yes","398","80%"
"2598","31444142","MGW8846","Hypercholesterolemia","Health-Related","Prevalence of hypercholesterolemia among participants at 70 years of age.","No","101","20%"
"2599","33067992","BTY4300","Age","Demographic","The distribution of age groups among the participants.","45-50","67","59.8%"
"2600","33067992","BTY4300","Age","Demographic","The distribution of age groups among the participants.","45-50","45","40.2%"
"2601","33067992","BTY4300","Gender","Demographic","The distribution of male and female participants.","Male","42","37.5%"
"2602","33067992","BTY4300","Gender","Demographic","The distribution of male and female participants.","Female","70","62.5%"
"2603","33067992","BTY4300","Education","Demographic","The educational background of participants.","Secondary Education","82","73.2%"
"2604","33067992","BTY4300","Education","Demographic","The educational background of participants.","University Degree","30","26.8%"
"2605","33067992","BTY4300","Smoking Status","Other","The smoking habits of participants.","Never Smoked","66","58.9%"
"2606","33067992","BTY4300","Smoking Status","Other","The smoking habits of participants.","Former/Current Smoker","46","41.1%"
"2607","33067992","BTY4300","Alcohol Consumption","Other","The alcohol consumption habits of participants.","No Alcohol Consumption","75","67.0%"
"2608","33067992","BTY4300","Alcohol Consumption","Other","The alcohol consumption habits of participants.","Alcohol Drinkers","37","33.0%"
"2609","33067992","BTY4300","Hypertension","Health-Related","The prevalence of hypertension among participants.","With Hypertension","53","47.3%"
"2610","33067992","BTY4300","Hypertension","Health-Related","The prevalence of hypertension among participants.","Without Hypertension","59","52.7%"
"2611","33067992","BTY4300","High Waist Circumference","Health-Related","The prevalence of participants with high waist circumference.","With High Waist Circumference","42","37.5%"
"2612","33067992","BTY4300","High Waist Circumference","Health-Related","The prevalence of participants with high waist circumference.","Normal Waist Circumference","70","62.5%"
"2613","33067992","BTY4300","High Glucose Levels","Health-Related","The prevalence of participants with high glucose levels.","With High Glucose","40","35.7%"
"2614","33067992","BTY4300","High Glucose Levels","Health-Related","The prevalence of participants with high glucose levels.","Normal Glucose","72","64.3%"
"2615","33067992","BTY4300","Low HDL Cholesterol Levels","Health-Related","The prevalence of participants with low HDL cholesterol levels.","With Low HDL Cholesterol","40","35.7%"
"2616","33067992","BTY4300","Low HDL Cholesterol Levels","Health-Related","The prevalence of participants with low HDL cholesterol levels.","Normal HDL Cholesterol","72","64.3%"
"2617","33067992","BTY4300","High Triglyceride Levels","Health-Related","The prevalence of participants with high triglyceride levels.","With High Triglycerides","37","33.0%"
"2618","33067992","BTY4300","High Triglyceride Levels","Health-Related","The prevalence of participants with high triglyceride levels.","Normal Triglycerides","75","67.0%"
"2619","33767305","KPO4143","Gender","Demographic","The distribution of male and female participants.","Male","57","51.4%"
"2620","33767305","KPO4143","Gender","Demographic","The distribution of male and female participants.","Female","54","48.6%"
"2621","33767305","KPO4143","Age","Demographic","The age distribution of study participants.","30-39",NA,"NA"
"2622","33767305","KPO4143","Age","Demographic","The age distribution of study participants.","40-49",NA,"NA"
"2623","33767305","KPO4143","Age","Demographic","The age distribution of study participants.","50-59",NA,"NA"
"2624","33767305","KPO4143","Age","Demographic","The age distribution of study participants.","60-69","86","77.5%"
"2625","33767305","KPO4143","Age","Demographic","The age distribution of study participants.","70-79",NA,"NA"
"2626","33767305","KPO4143","Age","Demographic","The age distribution of study participants.","80+",NA,"NA"
"2627","33767305","KPO4143","Smoking History","Demographic","The smoking status of participants.","Smoker","17","15.3%"
"2628","33767305","KPO4143","Smoking History","Demographic","The smoking status of participants.","Non-Smoker","94","84.7%"
"2629","33767305","KPO4143","Body Mass Index (BMI)","Health-Related","The distribution of BMI values among participants.","Underweight",NA,NA
"2630","33767305","KPO4143","Body Mass Index (BMI)","Health-Related","The distribution of BMI values among participants.","Normal Weight",NA,NA
"2631","33767305","KPO4143","Body Mass Index (BMI)","Health-Related","The distribution of BMI values among participants.","Overweight",NA,NA
"2632","33767305","KPO4143","Body Mass Index (BMI)","Health-Related","The distribution of BMI values among participants.","Obese",NA,NA
"2633","33767305","KPO4143","Systolic Blood Pressure","Health-Related","The distribution of systolic blood pressure values.","<120 mmHg",NA,NA
"2634","33767305","KPO4143","Systolic Blood Pressure","Health-Related","The distribution of systolic blood pressure values.","120-139 mmHg",NA,NA
"2635","33767305","KPO4143","Systolic Blood Pressure","Health-Related","The distribution of systolic blood pressure values.","140-159 mmHg",NA,NA
"2636","33767305","KPO4143","Systolic Blood Pressure","Health-Related","The distribution of systolic blood pressure values.","≥160 mmHg",NA,NA
"2637","33767305","KPO4143","Diastolic Blood Pressure","Health-Related","The distribution of diastolic blood pressure values.","<80 mmHg",NA,NA
"2638","33767305","KPO4143","Diastolic Blood Pressure","Health-Related","The distribution of diastolic blood pressure values.","80-89 mmHg",NA,NA
"2639","33767305","KPO4143","Diastolic Blood Pressure","Health-Related","The distribution of diastolic blood pressure values.","90-99 mmHg",NA,NA
"2640","33767305","KPO4143","Diastolic Blood Pressure","Health-Related","The distribution of diastolic blood pressure values.","≥100 mmHg",NA,NA
"2641","33767305","KPO4143","Heart Rate","Health-Related","The distribution of heart rate values among participants.","<60 bpm",NA,NA
"2642","33767305","KPO4143","Heart Rate","Health-Related","The distribution of heart rate values among participants.","60-69 bpm",NA,NA
"2643","33767305","KPO4143","Heart Rate","Health-Related","The distribution of heart rate values among participants.","70-79 bpm",NA,NA
"2644","33767305","KPO4143","Heart Rate","Health-Related","The distribution of heart rate values among participants.","≥80 bpm",NA,NA
"2645","33767305","KPO4143","Intraocular Pressure (IOP)","Health-Related","The distribution of intraocular pressure values.","<12 mmHg",NA,NA
"2646","33767305","KPO4143","Intraocular Pressure (IOP)","Health-Related","The distribution of intraocular pressure values.","12-16 mmHg",NA,NA
"2647","33767305","KPO4143","Intraocular Pressure (IOP)","Health-Related","The distribution of intraocular pressure values.","17-21 mmHg",NA,NA
"2648","33767305","KPO4143","Intraocular Pressure (IOP)","Health-Related","The distribution of intraocular pressure values.","≥22 mmHg",NA,NA
"2649","33767305","KPO4143","Axial Length","Health-Related","The distribution of axial length values among participants.","Short",NA,NA
"2650","33767305","KPO4143","Axial Length","Health-Related","The distribution of axial length values among participants.","Normal","86",NA
"2651","33767305","KPO4143","Axial Length","Health-Related","The distribution of axial length values among participants.","Long",NA,NA
"2652","33767305","KPO4143","Central Corneal Thickness","Health-Related","The distribution of central corneal thickness values.","<500 µm",NA,NA
"2653","33767305","KPO4143","Central Corneal Thickness","Health-Related","The distribution of central corneal thickness values.","500-550 µm",NA,NA
"2654","33767305","KPO4143","Central Corneal Thickness","Health-Related","The distribution of central corneal thickness values.","551-600 µm","86",NA
"2655","33767305","KPO4143","Central Corneal Thickness","Health-Related","The distribution of central corneal thickness values.",">600 µm",NA,NA
"2656","36389342","MPV4310","Age","Demographic","The age distribution of the study sample.","72.5 years ± 7.2 years",NA,NA
"2657","36389342","MPV4310","Gender","Demographic","The distribution of male and female participants.","43% women",NA,"43%"
"2658","36389342","MPV4310","Gender","Demographic","The distribution of male and female participants.","57% men",NA,"57%"
"2659","36389342","MPV4310","Diagnosis of Dementia","Health-Related","Presence or absence of dementia diagnosis.","Without Dementia","297","100%"
"2660","36389342","MPV4310","Vascular Disease Diagnosis","Health-Related","Presence or absence of vascular disease diagnosis.","With Vascular Disease",NA,NA
"2661","36389342","MPV4310","Vascular Disease Diagnosis","Health-Related","Presence or absence of vascular disease diagnosis.","No Vascular Disease",NA,NA
"2662","36389342","MPV4310","Hypertension Diagnosis","Health-Related","Presence or absence of hypertension diagnosis.","With Hypertension","50","17%"
"2663","36389342","MPV4310","Hypertension Diagnosis","Health-Related","Presence or absence of hypertension diagnosis.","Without Hypertension","247","83%"
