"","pmid","field","value","annotators","var_freq","precision"
"432","36699985","MAJOR RESULTS","FOUR BASIC CARE NEEDS WERE IDENTIFIED AS ESSENTIAL FOR DEMENTIA PATIENTS WITH MULTIPLE CHRONIC DISEASES: SOCIAL RESOURCES REFERRAL AND LEGAL SUPPORT.",10,1,0.1
"433","34176293","MAJOR RESULTS","HIGH BPV IN OLDER ADULTS WITHOUT MAJOR COGNITIVE IMPAIRMENT, PARTICULARLY IN MEN, IS ASSOCIATED WITH INCREASED RISKS OF DEMENTIA AND COGNITIVE DECLINE.",10,1,0.1
"434","37711969","MAJOR RESULTS","HIGH BLOOD PRESSURE VARIABILITY WAS ASSOCIATED WITH LOWER COGNITIVE PERFORMANCE AND INCREASED ARTERIAL STIFFNESS IN OLDER ADULTS WITHOUT CLINICALLY-RELEVANT COGNITIVE IMPAIRMENT.",10,1,0.1
"435","35897033","MAJOR RESULTS","RISK FACTORS ASSOCIATED WITH COGNITIVE DECLINE IN T2DM PATIENTS INCLUDED AGE ≥ 65 YEARS, SCHOOLING ≤ 6 YEARS, ARTERIAL HYPERTENSION, DEPRESSION SYMPTOMS, AND DIABETIC RETINOPATHY.",10,1,0.1
"436","35897033","EFFECT SIZE","REFER TO ODDS RATIO VALUES IN RESULTS",10,1,0.1
"437","35897033","LOWER CONFIDENCE INTERVAL","REFER TO 95% CI LOWER LIMITS IN RESULTS",10,1,0.1
"438","35897033","UPPER CONFIDENCE INTERVAL","REFER TO 95% CI UPPER LIMITS IN RESULTS",10,1,0.1
"439","35533660","STUDY DESIGN","OBSERVATIONAL STUDY USING POISSON AND ORDINAL REGRESSION MODELS",10,1,0.1
"440","35533660","POPULATION SIZE","21,920 FOR SCD ANALYSIS, 12,694 FOR SCD-RELATED WORRY ANALYSIS",10,1,0.1
"441","35533660","MAJOR RESULTS","PSYCHOSOCIAL VARIABLES SUCH AS DEPRESSION, PERCEIVED SOCIAL STATUS, AND PERSONALITY TRAITS SHOWED CONSISTENT ASSOCIATION WITH SUBJECTIVE COGNITIVE DECLINE. GREATER SCD-RELATED WORRY WAS ASSOCIATED WITH SPECIFIC PERSONALITY TRAITS, DEPRESSION, AGE, GENDER, AND SEXUALITY.",10,1,0.1
"442","35533660","EFFECT SIZE","NOT PROVIDED",10,3,0.3
"443","35533660","LOWER CONFIDENCE INTERVAL","NOT PROVIDED",10,2,0.2
"444","35533660","UPPER CONFIDENCE INTERVAL","NOT PROVIDED",10,2,0.2
"445","35533660","P-VALUE","NOT PROVIDED",10,3,0.3
"446","34872609","MAJOR RESULTS","HIGHER BODY HEIGHT WAS ASSOCIATED WITH A DECREASED PREVALENCE OF COGNITIVE IMPAIRMENT IN ELDERLY MEN AFTER ADJUSTING FOR CONFOUNDERS. EACH 1-DM INCREASE IN HEIGHT WAS LINKED TO A 37% DECREASE IN COGNITIVE IMPAIRMENT PREVALENCE AMONG MEN, WITH NO SIGNIFICANT ASSOCIATION OBSERVED IN ELDERLY WOMEN.",10,1,0.1
"447","34872609","LOWER CONFIDENCE INTERVAL","0.39",10,1,0.1
"448","34872609","UPPER CONFIDENCE INTERVAL","0.85",10,1,0.1
"449","34872609","P-VALUE","0.03",10,1,0.1
"450","38443972","EFFECT SIZE","1.60",10,4,0.4
"451","38443972","LOWER CONFIDENCE INTERVAL","1.20",10,4,0.4
"452","38443972","UPPER CONFIDENCE INTERVAL","2.15",10,4,0.4
"453","38443972","P-VALUE","0.02",10,2,0.2
"454","37079031","COVARIATE DEFINITIONS IN MAINTEXT","N",10,3,0.3
"455","37079031","MAJOR RESULTS","SIGNIFICANT ASSOCIATIONS FOUND BETWEEN MACULAR THICKNESS AND MOCA SCORES IN MANIFEST HUNTINGTON'S DISEASE, WITH THE INNER NUCLEAR LAYER SHOWING THE STRONGEST CORRELATION. NO SIGNIFICANT ASSOCIATIONS WERE OBSERVED IN PREMANIFEST PATIENTS.",10,1,0.1
"456","36265125","MAJOR RESULTS","COVID-19 INFECTION RATE AND SEVERITY WERE ASSOCIATED WITH COMORBIDITIES SUCH AS PULMONARY DISEASE, DEMENTIA, GASTROINTESTINAL DISEASE, STROKE, HEPATOBILIARY DISEASE, DIABETES MELLITUS, CARDIOVASCULAR DISEASE, KIDNEY DISEASE, HYPERTENSION, CANCER, AND PSYCHOTIC DISORDERS. HYPERLIPIDEMIA AND AUTOIMMUNE DISEASE SHOWED LOWER RATES.",10,1,0.1
"457","36265125","EFFECT SIZE","1.88",10,3,0.3
"458","36265125","LOWER CONFIDENCE INTERVAL","1.70",10,3,0.3
"459","36265125","UPPER CONFIDENCE INTERVAL","2.03",10,2,0.2
"460","37448423","POPULATION SIZE","229,025",10,4,0.4
"461","37448423","MAJOR RESULTS","MALE PATIENTS WITH HYPERTENSIVE EMERGENCY HAD 39% HIGHER ODDS OF MORTALITY THAN FEMALE PATIENTS. AGE AND CHARLSON COMORBIDITY INDEX WERE INDEPENDENT PREDICTORS OF MORTALITY.",10,2,0.2
"462","35102219","MAJOR RESULTS","LOSS OF LONGITUDINAL INCREASE IN SYSTOLIC BP INDEPENDENTLY ASSOCIATED WITH HIGHER RISK OF INCIDENT DEMENTIA, ADJUSTED OR 1.22.",10,1,0.1
"463","33839636","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,2,0.2
"464","33839636","MAJOR RESULTS","THE STUDY HIGHLIGHTED THE INCIDENCE OF POLYPHARMACY, NEUROLOGICAL DISEASES, HYPERTENSION, AND URINARY AND RESPIRATORY INFECTIONS AS TREATABLE AND/OR PREVENTABLE FACTORS OF DELIRIUM IN PRIMARY CARE PATIENTS.",10,1,0.1
"465","33839636","EFFECT SIZE","0.75",10,1,0.1
"466","33839636","LOWER CONFIDENCE INTERVAL","0.60",10,1,0.1
"467","33839636","UPPER CONFIDENCE INTERVAL","0.90",10,1,0.1
"468","33839636","P-VALUE","0.000",10,1,0.1
"469","34611033","STUDY DESIGN","1-YEAR FOLLOW-UP STUDY",10,2,0.2
"470","34611033","MAJOR RESULTS","MALE GENDER, STROKE SEVERITY, SEVERITY OF ADL ON FOLLOW-UP, AND MTLA MAY BE PREDICTORS OF POOR PARTICIPATION AFTER ACUTE ISCHEMIC STROKE.",10,2,0.2
"471","34611033","EFFECT SIZE","NA",10,1,0.1
"472","34611033","LOWER CONFIDENCE INTERVAL","NA",10,1,0.1
"473","34611033","UPPER CONFIDENCE INTERVAL","NA",10,1,0.1
"474","34611033","P-VALUE","NA",10,1,0.1
"475","33126696","MAJOR RESULTS","DEPRESSION AND DIABETES MELLITUS WERE ASSOCIATED WITH INCREASED LIKELIHOOD OF DEVELOPING AD, WITH OR OF 12.9 AND 2.8, RESPECTIVELY. TREATED DYSLIPIDEMIA WAS ASSOCIATED WITH REDUCED RISK OF AD.",10,1,0.1
"476","36092174","MAJOR RESULTS","MOST PATIENTS WERE WHITE WOMEN, WITH A MEAN AGE OF 80 YEARS AND AN AVERAGE BMI OF 23.55 KG/M2. THE COMMON COMORBIDITIES INCLUDED SYSTEMIC ARTERIAL HYPERTENSION, DIABETES MELLITUS, AND ALZHEIMER’S DISEASE. A LARGE PORTION OF PATIENTS WAS CONSIDERED MALNOURISHED OR AT RISK OF MALNUTRITION.",10,1,0.1
"477","33798213","MAJOR RESULTS","HIGH VISIT-TO-VISIT BPV WAS PRESENT IN ONE SIXTH OF NON-HYPERTENSIVE ADULTS AND ONE THIRD OF HYPERTENSIVE INDIVIDUALS, WITH VARIATIONS ACROSS AGE, COMORBIDITIES, AND ANTIHYPERTENSIVE TREATMENT REGIMENS.",10,1,0.1
"478","33798213","EFFECT SIZE","33.2%",10,1,0.1
"479","33798213","LOWER CONFIDENCE INTERVAL","16.5%",10,1,0.1
"480","33798213","UPPER CONFIDENCE INTERVAL","38.5%",10,1,0.1
"481","31444142","POPULATION SIZE","502 PARTICIPANTS ASSESSED, 465 INCLUDED IN IMAGING ANALYSES",10,1,0.1
"482","31444142","MAJOR RESULTS","MIDLIFE HYPERTENSION ASSOCIATED WITH GREATER CEREBRAL SMALL VESSEL DISEASE BURDEN AND SMALLER BRAIN VOLUMES. NO ASSOCIATION FOUND BETWEEN BLOOD PRESSURE, CHANGES, AND COGNITION OR AMYLOID STATUS AT 69-71 YEARS.",10,1,0.1
"483","31444142","EFFECT SIZE","0.07 TO 0.15 INCREASE IN MEAN WHITE MATTER HYPERINTENSITY VOLUME PER 10 MM HG INCREASE IN BLOOD PRESSURE",10,1,0.1
"484","31444142","LOWER CONFIDENCE INTERVAL","1-14 INCREASE IN MEAN WMHV PER 10 MM HG GREATER SBP AT AGE 53 YEARS",10,1,0.1
"485","31444142","UPPER CONFIDENCE INTERVAL","0.002 TO 0.90 P-VALUE",10,1,0.1
"486","31444142","P-VALUE","0.024 TO 0.043",10,1,0.1
"487","33067992","MAJOR RESULTS","METABOLIC SYNDROME PARTICIPANTS HAD LOWER CERAD-NB TOTAL SCORE, WITH SIGNIFICANTLY POORER PERFORMANCE ON THE SUBTEST WORD LIST RECALL. METS SEVERITY WAS FOUND TO BE A BETTER PREDICTOR OF LOWER COGNITIVE FUNCTIONING THAN INDIVIDUAL METS COMPONENTS.",10,1,0.1
"488","33767305","POPULATION SIZE","86 HEALTHY PARTICIPANTS WITH 111 EYES",10,1,0.1
"489","33767305","MAJOR RESULTS","SKEW AND FLOW ACCELERATION INDEX ASSISTED IN CHARACTERIZING IN VIVO OCULAR CIRCULATION.",10,1,0.1
"490","36389342","MAJOR RESULTS","PACE WAS POSITIVELY ASSOCIATED WITH GMV IN SPECIFIC BRAIN REGIONS, WHILE RHYTHM WAS ALSO POSITIVELY ASSOCIATED WITH GMV IN DIFFERENT BRAIN REGIONS. PACE PATTERN WAS LESS EXPRESSED IN PARTICIPANTS WITH VASCULAR DISEASE.",10,1,0.1
"491","30368247","MAJOR RESULTS","INDIVIDUALS WITH HIGHER VARIABILITY IN METABOLIC PARAMETERS LIKE BMI, SYSTOLIC BP, GLUCOSE, OR TOTAL CHOLESTEROL WERE AT INCREASED RISK OF FUTURE DEMENTIA. A LINEAR ASSOCIATION WAS OBSERVED BETWEEN THE NUMBER OF PARAMETERS WITH HIGH VARIABILITY AND THE RISK OF DEMENTIA.",10,1,0.1
"492","30368247","P-VALUE","P FOR TREND < 0.001",10,3,0.3
"493","37441712","MAJOR RESULTS","PATIENTS WITH A LOWER SEVERITY GRADE TENDED TO BE YOUNGER AND HAD A LOWER PREVALENCE OF HYPERTENSION AND DIABETES MELLITUS. HIGHER SEVERITY GRADES WERE ASSOCIATED WITH AN INCREASED NUMBER OF VASCULAR RISK FACTORS.",10,1,0.1
"494","37441712","EFFECT SIZE","0.75",10,2,0.2
"495","37441712","LOWER CONFIDENCE INTERVAL","0.60",10,2,0.2
"496","37441712","UPPER CONFIDENCE INTERVAL","0.90",10,2,0.2
"497","33655975","MAJOR RESULTS","BMI, FMI, AND TFMI SHOWED SIGNIFICANT POSITIVE CORRELATIONS WITH COGNITIVE FUNCTIONS IN MALES, BUT NOT IN FEMALES. THE STUDY HIGHLIGHTED A SEX-SPECIFIC CORRELATION OF FAT-RELATED INDEXES WITH COGNITIVE FUNCTION.",10,1,0.1
"498","37830725","MAJOR RESULTS","FUNCTIONAL AND NEUROMUSCULAR ABILITY SEEMS TO BE ASSOCIATED WITH QUALITY OF LIFE.",10,1,0.1
"499","37830725","EFFECT SIZE","",10,3,0.3
"500","37830725","LOWER CONFIDENCE INTERVAL","",10,3,0.3
"501","37830725","UPPER CONFIDENCE INTERVAL","",10,3,0.3
"502","37698858","STUDY DESIGN","LONGITUDINAL COHORT STUDIES",10,2,0.2
"503","37698858","COVARIATE DEFINITIONS IN MAINTEXT","N",10,1,0.1
"504","37698858","MAJOR RESULTS","UNTREATED HYPERTENSION WAS ASSOCIATED WITH A 42% INCREASED RISK OF DEMENTIA COMPARED TO HEALTHY CONTROLS.",10,1,0.1
"505","31617930","MAJOR RESULTS","OFFSPRING DIAGNOSED WITH SYMPTOMATIC AD 6.1 YEARS EARLIER THAN THEIR PARENTS, WITH VARIOUS ACQUIRED AND HERITABLE FACTORS INFLUENCING INTERGENERATIONAL AGE AT SYMPTOMATIC ONSET OF AD.",10,1,0.1
"506","31617930","EFFECT SIZE","-9.52 TO 5.00",10,2,0.2
"507","31617930","LOWER CONFIDENCE INTERVAL","-13.79",10,4,0.4
"508","31617930","UPPER CONFIDENCE INTERVAL","7.88",10,2,0.2
"509","29574441","MAJOR RESULTS","DIET AND INSULIN SENSITIVITY EXPLAINED BRAIN CORTICAL THICKNESS IN MIDDLE-AGED ADULTS; INTELLECTUAL ENRICHMENT INFLUENCED COGNITION; MEDI ADHERENCE, INSULIN RESISTANCE, OVERWEIGHT, AND INTELLECTUAL ACTIVITY WERE ASSOCIATED WITH BRAIN HEALTH AND COGNITION.",10,1,0.1
"510","29574441","EFFECT SIZE","0.26 - 0.59",10,1,0.1
"511","29574441","LOWER CONFIDENCE INTERVAL","0.008",10,1,0.1
"512","29574441","UPPER CONFIDENCE INTERVAL",">0.001",10,1,0.1
"513","29574441","P-VALUE","<0.05",10,1,0.1
"514","37203319","MAJOR RESULTS","AGE, CHRONIC OBSTRUCTIVE PULMONARY DISEASE, EPIDEMIC WAVES 2 AND 3, AND GLUCOCORTICOID TREATMENT WERE SIGNIFICANTLY ASSOCIATED WITH HIGHER MORTALITY IN COVID-19 PATIENTS ADMITTED TO THE HOSPITAL.",10,1,0.1
"515","30180830","MAJOR RESULTS","INCREASED PHYSICAL FITNESS AT AGE 79 DID NOT REDUCE THE RISK OF SUBSEQUENT DEMENTIA. FEV1, GRIP STRENGTH, AND WALKING SPEED AT AGE 79 WERE NOT ASSOCIATED WITH DEMENTIA RISK.",10,1,0.1
"516","30180830","EFFECT SIZE","N/A",10,1,0.1
"517","30180830","LOWER CONFIDENCE INTERVAL","N/A",10,1,0.1
"518","30180830","UPPER CONFIDENCE INTERVAL","N/A",10,1,0.1
"519","30180830","P-VALUE","NOT APPLICABLE",10,1,0.1
"520","36699985","MAJOR RESULTS","FOUR BASIC CARE NEEDS WERE SOCIAL RESOURCES REFERRAL AND LEGAL SUPPORT SHOULD BE CONSIDERED ESPECIALLY IN DEMENTIA PATIENTS WITH PRESERVED AMBULATORY FUNCTION OR WITH SYMPTOMS OF HALLUCINATION.",10,1,0.1
"521","34176293","POPULATION SIZE","19,114 PARTICIPANTS",10,1,0.1
"522","34176293","MAJOR RESULTS","HIGH BLOOD PRESSURE VARIABILITY IN OLDER ADULTS WITHOUT MAJOR COGNITIVE IMPAIRMENT, PARTICULARLY IN MEN, IS ASSOCIATED WITH INCREASED RISKS OF DEMENTIA AND COGNITIVE DECLINE.",10,2,0.2
"523","37711969","POPULATION SIZE","70 OLDER ADULTS",10,1,0.1
"524","37711969","MAJOR RESULTS","HIGH SYSTOLIC AND DIASTOLIC SHORT- AND MID-TERM BPV WERE ASSOCIATED WITH POORER COGNITIVE FUNCTIONING, INDEPENDENT OF MEAN BP. HIGHER SHORT-TERM BPV LINKED WITH POORER ATTENTION AND PSYCHOMOTOR SPEED, DAY-TO-DAY BPV NEGATIVELY ASSOCIATED WITH EXECUTIVE FUNCTIONING. SYSTOLIC SHORT-TERM BPV LINKED WITH HIGHER ARTERIAL STIFFNESS, DIASTOLIC DAY-TO-DAY BPV WITH LOWER ARTERIAL STIFFNESS. NO SIGNIFICANT LINK WITH CEREBROVASCULAR PULSATILITY.",10,1,0.1
"525","35897033","MAJOR RESULTS","COGNITIVE EVALUATION AND FOLLOW-UP SHOULD BE INCORPORATED INTO THE ROUTINE OF T2DM PATIENTS, ESPECIALLY FOR THOSE WITH ADVANCED AGE, LOW EDUCATION LEVEL, PROLONGED DM DURATION, ARTERIAL HYPERTENSION, DEPRESSION SYMPTOMS, CVD, AND DR.",10,1,0.1
"526","35897033","EFFECT SIZE","REFER TO ODDS RATIOS IN THE MAIN TEXT FOR EFFECT SIZES",10,1,0.1
"527","35897033","LOWER CONFIDENCE INTERVAL","REFER TO 95% CONFIDENCE INTERVALS IN THE MAIN TEXT",10,1,0.1
"528","35897033","UPPER CONFIDENCE INTERVAL","REFER TO 95% CONFIDENCE INTERVALS IN THE MAIN TEXT",10,1,0.1
"529","35897033","P-VALUE","P-VALUES WERE NOT EXPLICITLY MENTIONED IN THE TEXT",10,1,0.1
"530","35533660","STUDY DESIGN","PRIMARY ANALYSIS USING A POISSON REGRESSION MODEL AND A SECOND ANALYSIS USING AN ORDINAL REGRESSION MODEL",10,2,0.2
"531","35533660","POPULATION SIZE","21,920 FOR PRIMARY ANALYSIS AND 12,694 FOR SECONDARY ANALYSIS",10,1,0.1
"532","35533660","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,2,0.2
"533","35533660","MAJOR RESULTS","PSYCHOSOCIAL VARIABLES SUCH AS DEPRESSION, PERCEIVED SOCIAL STATUS, AND PERSONALITY TRAITS SHOWED A CONSISTENT ASSOCIATION WITH SCD, WHILE SPECIFIC PERSONALITY TRAITS, DEPRESSION, AGE, GENDER, AND SEXUALITY WERE LINKED TO GREATER SCD-RELATED WORRY.",10,1,0.1
"534","35533660","LOWER CONFIDENCE INTERVAL","NOT APPLICABLE",10,1,0.1
"535","35533660","UPPER CONFIDENCE INTERVAL","NOT APPLICABLE",10,1,0.1
"536","34872609","LOWER CONFIDENCE INTERVAL","0.49",10,1,0.1
"537","34872609","UPPER CONFIDENCE INTERVAL","0.82",10,1,0.1
"538","34872609","P-VALUE","0.02",10,2,0.2
"539","38443972","MAJOR RESULTS","UNTREATED DIABETES PREVALENCE WAS HIGHER FOR MALES. MALES AND CURRENT SMOKERS, IN CONTRAST TO MARRIED PARTICIPANTS, PEOPLE WITH HIGHER EDUCATION LEVELS, AND DEMENTIA, WERE MORE LIKELY TO HAVE UNTREATED HTN. UNTREATED DYSLIPIDEMIA IS MORE COMMON IN SMOKERS AND MALES, WHILE UNTREATED HYPERCHOLESTEREMIA IS MORE COMMON IN MALES AND IS REPORTED LOWER IN PEOPLE WITH DEMENTIA.",10,1,0.1
"540","38443972","P-VALUE","-",10,2,0.2
"541","37079031","MAJOR RESULTS","MACULAR THICKNESS WAS SIGNIFICANTLY ASSOCIATED WITH MOCA SCORES IN MANIFEST HUNTINGTON'S DISEASE.",10,1,0.1
"542","37079031","EFFECT SIZE","NOT EXPLICITLY PROVIDED",10,1,0.1
"543","37079031","LOWER CONFIDENCE INTERVAL","NOT APPLICABLE",10,1,0.1
"544","37079031","UPPER CONFIDENCE INTERVAL","NOT APPLICABLE",10,1,0.1
"545","37079031","P-VALUE","NOT APPLICABLE",10,1,0.1
"546","36265125","MAJOR RESULTS","COVID-19 INFECTION RATE AND SEVERITY WERE ASSOCIATED WITH VARIOUS COMORBIDITIES, WITH DIFFERING ODDS RATIOS AND CONFIDENCE INTERVALS OBSERVED FOR DIFFERENT CONDITIONS.",10,1,0.1
"547","36265125","UPPER-CONFIDENCE INTERVAL","2.03",10,1,0.1
"548","36265125","P-VALUE","N/A",10,2,0.2
"549","37448423","LOWER CONFIDENCE INTERVAL","1.20",10,3,0.3
"550","37448423","UPPER CONFIDENCE INTERVAL","1.02",10,3,0.3
"551","35102219","EFFECT SIZE","1.22",10,1,0.1
"552","35102219","LOWER CONFIDENCE INTERVAL","1.02",10,1,0.1
"553","35102219","UPPER CONFIDENCE INTERVAL","1.45",10,1,0.1
"554","35102219","P-VALUE","0.03",10,1,0.1
"555","33839636","MAJOR RESULTS","THE STUDY HIGHLIGHTED THE ROLE OF NEUROLOGICAL DISEASES, AND URINARY AND RESPIRATORY INFECTIONS AS TREATABLE AND/OR PREVENTABLE FACTORS OF DELIRIUM IN PRIMARY CARE PATIENTS.",10,1,0.1
"556","33839636","EFFECT SIZE","NA",10,1,0.1
"557","33839636","LOWER CONFIDENCE INTERVAL","NA",10,1,0.1
"558","33839636","UPPER CONFIDENCE INTERVAL","NA",10,1,0.1
"559","33839636","P-VALUE","NA",10,1,0.1
"560","34611033","EFFECT SIZE","NOT APPLICABLE",10,1,0.1
"561","34611033","LOWER CONFIDENCE INTERVAL","NOT APPLICABLE",10,1,0.1
"562","34611033","UPPER CONFIDENCE INTERVAL","NOT APPLICABLE",10,1,0.1
"563","34611033","P-VALUE","NOT APPLICABLE",10,1,0.1
"564","33126696","MAJOR RESULTS","DEPRESSION AND DIABETES MELLITUS INCREASE THE RISK OF DEMENTIA, WHILE TREATED DYSLIPIDEMIA REDUCES THE RISK.",10,1,0.1
"565","33126696","EFFECT SIZE","0.54 TO 15.6",10,1,0.1
"566","33126696","UPPER CONFIDENCE INTERVAL","45",10,2,0.2
"567","36092174","MAJOR RESULTS","MOST PATIENTS WERE WHITE WOMEN, WITH A MEAN AGE OF 80 YEARS AND AN AVERAGE BMI OF 23.55 KG/M2. THE MOST COMMON COMORBIDITIES WERE SYSTEMIC ARTERIAL HYPERTENSION, DIABETES MELLITUS, AND ALZHEIMER'S DISEASE. MOST PATIENTS WERE CONSIDERED TO BE MALNOURISHED OR AT RISK OF MALNUTRITION.",10,1,0.1
"568","33798213","COVARIATE DEFINITIONS IN MAINTEXT","N",10,4,0.4
"569","33798213","MAJOR RESULTS","HIGH BPV IS PRESENT IN ONE SIXTH OF NON-HYPERTENSIVE ADULTS AND ONE THIRD OF HYPERTENSIVE INDIVIDUALS, WITH SIGNIFICANT ASSOCIATIONS WITH COMORBIDITIES AND ANTIHYPERTENSIVE TREATMENTS.",10,1,0.1
"570","33798213","EFFECT SIZE","-",10,1,0.1
"571","33798213","LOWER CONFIDENCE INTERVAL","-",10,1,0.1
"572","33798213","UPPER CONFIDENCE INTERVAL","-",10,1,0.1
"573","31444142","STUDY DESIGN","PROSPECTIVE LONGITUDINAL COHORT STUDY",10,3,0.3
"574","31444142","POPULATION SIZE","502 INDIVIDUALS ASSESSED",10,2,0.2
"575","31444142","MAJOR RESULTS","HIGHER SBP AND DBP IN MIDLIFE ASSOCIATED WITH INCREASED WMHV AND SMALLER BRAIN VOLUMES IN LATE LIFE, NO EFFECT ON AMYLOID STATUS OR COGNITION.",10,1,0.1
"576","31444142","EFFECT SIZE","SEE EXPLANATION",10,1,0.1
"577","31444142","LOWER CONFIDENCE INTERVAL","SEE EXPLANATION",10,1,0.1
"578","31444142","UPPER CONFIDENCE INTERVAL","SEE EXPLANATION",10,1,0.1
"579","31444142","P-VALUE","MULTIPLE P-VALUES REPORTED FOR VARIOUS ASSOCIATIONS BETWEEN BLOOD PRESSURE AND BRAIN HEALTH OUTCOMES.",10,1,0.1
"580","33067992","MAJOR RESULTS","METABOLIC SYNDROME SEVERITY WAS ASSOCIATED WITH LOWER COGNITIVE FUNCTIONING, WITH HYPERTENSION EMERGING AS A SIGNIFICANT PREDICTOR.",10,1,0.1
"581","33767305","STUDY DESIGN","PROSPECTIVE, CROSS-SECTIONAL STUDY",10,2,0.2
"582","33767305","MAJOR RESULTS","LSFG PULSE WAVEFORM PARAMETERS SIGNIFICANTLY CORRELATED WITH SYSTEMIC PARAMETERS AND OCULAR FACTORS, WITH IMPLICATIONS FOR OCULAR CIRCULATION AND POTENTIAL OPHTHALMOLOGICAL RELEVANCE.",10,1,0.1
"583","33767305","EFFECT SIZE","RESULTS WERE PRESENTED DESCRIPTIVELY; EFFECT SIZES WERE NOT EXPLICITLY PROVIDED.",10,1,0.1
"584","33767305","LOWER CONFIDENCE INTERVAL","NOT PROVIDED",10,1,0.1
"585","33767305","UPPER CONFIDENCE INTERVAL","NOT PROVIDED",10,1,0.1
"586","33767305","P-VALUE","RESULTS WERE REPORTED DESCRIPTIVELY; SPECIFIC P-VALUES WERE MENTIONED IN THE CONTEXT OF CORRELATIONS.",10,1,0.1
"587","36389342","EFFECT SIZE","NA",10,1,0.1
"588","36389342","LOWER CONFIDENCE INTERVAL","NA",10,1,0.1
"589","36389342","UPPER CONFIDENCE INTERVAL","NA",10,1,0.1
"590","36389342","P-VALUE","NA",10,1,0.1
"591","30368247","MAJOR RESULTS","INDIVIDUALS WITH HIGHER VARIABILITY IN BMI, SYSTOLIC BP, GLUCOSE, OR TOTAL CHOLESTEROL HAD AN INCREASED RISK OF FUTURE DEMENTIA. A LINEAR ASSOCIATION WAS OBSERVED BETWEEN THE NUMBER OF PARAMETERS WITH HIGH VARIABILITY AND THE RISK OF DEMENTIA.",10,1,0.1
"592","37441712","MAJOR RESULTS","PATIENTS WITH LOWER SEVERITY GRADES TENDED TO BE YOUNGER AND HAD A LOWER PREVALENCE OF HYPERTENSION AND DIABETES MELLITUS. HIGHER SEVERITY GRADES WERE ASSOCIATED WITH AN INCREASED NUMBER OF VASCULAR RISK FACTORS.",10,1,0.1
"593","37441712","EFFECT SIZE","",10,2,0.2
"594","37441712","LOWER CONFIDENCE INTERVAL","",10,2,0.2
"595","37441712","UPPER CONFIDENCE INTERVAL","",10,2,0.2
"596","33655975","MAJOR RESULTS","BMI, FAT MASS INDEX SHOWED SIGNIFICANT POSITIVE CORRELATIONS WITH COGNITIVE FUNCTIONS, PREDOMINANTLY IN MALES. FFMI DID NOT EXHIBIT SIGNIFICANT CORRELATIONS WITH COGNITIVE FUNCTIONS.",10,1,0.1
"597","33655975","EFFECT SIZE","VARIED EFFECT SIZES REPORTED FOR BMI, FMI, TFMI IN RELATION TO COGNITIVE FUNCTIONS",10,1,0.1
"598","33655975","LOWER CONFIDENCE INTERVAL","0.000",10,1,0.1
"599","33655975","UPPER CONFIDENCE INTERVAL","0.999",10,1,0.1
"600","33655975","P-VALUE","VARIED P-VALUES REPORTED FOR DIFFERENT ASSOCIATIONS BETWEEN BODY COMPOSITION INDICES AND COGNITIVE FUNCTIONS",10,1,0.1
"601","37830725","MAJOR RESULTS","PARTICIPANTS WITH LOW LEVELS OF PHYSICAL FITNESS AND HIGH METABOLIC AND CARDIOVASCULAR MARKERS NEED IMPROVEMENT. FUNCTIONAL AND NEUROMUSCULAR ABILITY WERE ASSOCIATED WITH QUALITY OF LIFE.",10,1,0.1
"602","37830725","EFFECT SIZE","NOT PROVIDED",10,1,0.1
"603","37830725","LOWER CONFIDENCE INTERVAL","NOT PROVIDED",10,1,0.1
"604","37830725","UPPER CONFIDENCE INTERVAL","NOT PROVIDED",10,1,0.1
"605","37830725","P-VALUE","<= 0.05",10,3,0.3
"606","37698858","MAJOR RESULTS","UNTREATED HYPERTENSION WAS ASSOCIATED WITH A 42% INCREASED RISK OF DEMENTIA COMPARED WITH HEALTHY CONTROLS, AND THOSE WITH TREATED HYPERTENSION HAD NO SIGNIFICANT INCREASED DEMENTIA RISK COMPARED TO HEALTHY CONTROLS. BASELINE BLOOD PRESSURE DID NOT MODERATE THE REDUCED DEMENTIA RISK IN PARTICIPANTS WITH TREATED HYPERTENSION.",10,1,0.1
"607","37698858","EFFECT SIZE","1.42 FOR UNTREATED HYPERTENSION VS. HEALTHY CONTROLS, 1.26 FOR UNTREATED VS. TREATED HYPERTENSION, AND 1.13 FOR TREATED HYPERTENSION VS. HEALTHY CONTROLS.",10,1,0.1
"608","37698858","LOWER CONFIDENCE INTERVAL","1.15 FOR UNTREATED HYPERTENSION VS. HEALTHY CONTROLS, 1.03 FOR UNTREATED VS. TREATED HYPERTENSION.",10,1,0.1
"609","37698858","UPPER CONFIDENCE INTERVAL","1.76 FOR UNTREATED HYPERTENSION VS. HEALTHY CONTROLS, 1.53 FOR UNTREATED VS. TREATED HYPERTENSION, 1.28 FOR TREATED HYPERTENSION VS. HEALTHY CONTROLS.",10,1,0.1
"610","37698858","P-VALUE","P = .001 FOR UNTREATED HYPERTENSION VS. HEALTHY CONTROLS, P = .02 FOR UNTREATED VS. TREATED HYPERTENSION, P = .07 FOR TREATED HYPERTENSION VS. HEALTHY CONTROLS.",10,1,0.1
